,name,all_matches,true_matches,error_all_matches,error_true_matches,size,time
0,1.jpg,1618,95,2.263,1.5432,"(1276, 1276, 3)",0.0309
1,2.jpg,2110,43,2.286,1.6708,"(1276, 1276, 3)",0.0419
2,3.jpg,1012,2,2.8706,2.258,"(1276, 956, 3)",0.0179
3,4.jpg,1812,184,2.2742,1.4354,"(1276, 1276, 3)",0.0349
4,5.jpg,74,1,2.9402,1.7035,"(1276, 1276, 3)",0.002
5,IMG_6806.JPG,4098,120,2.316,1.7674,"(4032, 3024, 3)",0.0748
6,IMG_6807.JPG,2472,185,2.0223,1.4599,"(4032, 3024, 3)",0.0479
7,IMG_6808.JPG,4094,134,2.228,1.5366,"(4032, 3024, 3)",0.0808
8,IMG_6809.JPG,5488,56,2.2016,1.5067,"(4032, 3024, 3)",0.0997
9,IMG_6810.JPG,4384,81,2.2882,1.5619,"(4032, 3024, 3)",0.0788
10,IMG_6811.JPG,2844,46,2.0726,1.4866,"(4032, 3024, 3)",0.0509
11,photo_2020-10-03_16-53-13.jpg,1336,30,2.7503,1.7691,"(1276, 956, 3)",0.0249
12,photo_2020-10-03_16-53-14.jpg,1168,23,2.5993,1.6133,"(1276, 956, 3)",0.0249
13,photo_2020-10-03_16-53-15 (2).jpg,1180,17,2.7831,1.8661,"(1276, 956, 3)",0.0209
14,photo_2020-10-03_16-53-15.jpg,880,9,2.675,1.7388,"(1276, 956, 3)",0.016
15,photo_2020-10-03_16-53-16.jpg,884,31,2.5344,1.598,"(1276, 956, 3)",0.0189
16,photo_2020-10-03_16-53-17.jpg,854,26,2.4866,1.7594,"(1276, 956, 3)",0.015
17,photo_2020-10-03_16-53-18.jpg,1212,31,2.3078,1.6207,"(1276, 956, 3)",0.0219
18,photo_2020-10-03_16-53-19.jpg,1038,29,2.3277,1.6713,"(1276, 956, 3)",0.0189
19,photo_2020-10-03_16-53-20.jpg,1102,23,2.5927,1.969,"(1276, 956, 3)",0.0219
20,photo_2020-10-03_16-53-21.jpg,948,11,2.5461,1.6265,"(1276, 956, 3)",0.017
21,photo_2020-10-03_16-53-23.jpg,1392,31,2.5149,1.6577,"(1276, 956, 3)",0.0249
22,photo_2020-10-03_16-53-24.jpg,1468,26,2.4887,1.6604,"(1276, 956, 3)",0.0289
23,photo_2020-10-03_16-53-25.jpg,1288,45,2.213,1.6748,"(1276, 956, 3)",0.0229
24,photo_2020-10-03_16-53-27.jpg,2004,50,2.27,1.6144,"(1276, 1276, 3)",0.0399
25,photo_2020-10-03_16-53-28.jpg,1636,64,2.2639,1.6378,"(1276, 1276, 3)",0.0299
26,photo_2020-10-03_17-08-56.jpg,942,158,1.9818,1.3711,"(1276, 956, 3)",0.0209
27,photo_2020-10-03_17-08-57.jpg,716,54,2.3547,1.6061,"(1276, 956, 3)",0.014
28,photo_2020-10-03_17-08-58.jpg,696,47,2.3737,1.4248,"(1276, 956, 3)",0.014
29,photo_2020-10-03_17-08-59.jpg,1292,105,2.1573,1.5664,"(1276, 956, 3)",0.0269
30,photo_2020-10-03_17-09-00.jpg,958,24,2.7986,1.839,"(1276, 956, 3)",0.0189
31,photo_2020-10-03_17-09-01.jpg,1110,61,2.5694,1.7877,"(1276, 956, 3)",0.0209
32,photo_2020-10-03_17-09-02.jpg,1544,28,2.6387,1.6679,"(956, 1276, 3)",0.0289
33,photo_2020-10-03_17-09-03.jpg,1010,26,2.5855,1.5969,"(1276, 956, 3)",0.0269
34,photo_2020-10-03_17-09-04 (2).jpg,756,12,2.5608,1.756,"(1276, 956, 3)",0.013
35,photo_2020-10-03_17-09-04.jpg,1476,35,2.6329,1.8427,"(1276, 956, 3)",0.0269
36,photo_2020-10-03_17-09-05.jpg,1060,20,2.506,1.7482,"(1276, 956, 3)",0.0239
37,photo_2020-10-03_17-09-06.jpg,1212,21,2.7225,1.8046,"(1276, 956, 3)",0.0209
38,photo_2020-10-03_17-09-07.jpg,1212,21,2.7225,1.8046,"(1276, 956, 3)",0.0219
39,photo_2020-10-03_17-09-08.jpg,842,11,2.6637,1.8512,"(1276, 956, 3)",0.016
40,photo_2020-10-03_17-09-09.jpg,876,11,2.7031,1.9107,"(1276, 956, 3)",0.017
41,photo_2020-10-03_17-09-10.jpg,1226,23,2.858,1.7449,"(1276, 956, 3)",0.0219
