,name,features,all_matches,true_matches,error_all_matches,error_true_matches,size,time
0,200018300047_463343.jpg,1500.0,365.0,10.0,61.2685,68.6,"(1280, 960)",0.0867
1,200018300204_458970.jpg,1500.0,365.0,9.0,56.874,55.4444,"(1280, 960)",0.0848
2,200018300634_461451.jpg,1500.0,373.0,9.0,58.0912,61.5556,"(960, 1280)",0.0868
3,200018500242_464323.jpg,1500.0,386.0,11.0,60.0026,59.0909,"(960, 1280)",0.0868
4,200018500302_461154.jpg,1500.0,369.0,12.0,59.1355,57.1667,"(960, 1280)",0.0858
5,200018500845_461490.jpg,1500.0,370.0,8.0,65.9676,58.625,"(1280, 960)",0.0848
6,200067600130_340611.jpg,1500.0,366.0,12.0,57.5683,52.75,"(1280, 1280)",0.0848
7,200067600168_341964.jpg,1500.0,404.0,10.0,58.4703,61.6,"(960, 1280)",0.0858
8,200067600293_341472.jpg,1500.0,370.0,8.0,56.4946,52.375,"(1280, 1280)",0.0868
9,200067700524_339357.jpg,1500.0,384.0,14.0,57.6302,45.4286,"(1280, 960)",0.0888
10,200067700898_343530.jpg,1500.0,338.0,10.0,55.716,54.2,"(960, 1280)",0.0878
11,200068000055_343134.jpg,1500.0,356.0,9.0,54.618,59.5556,"(1280, 1280)",0.0858
12,200068000603_340327.jpg,1500.0,375.0,8.0,61.5227,55.25,"(960, 1280)",0.0818
13,200068000695_342452.jpg,1500.0,364.0,17.0,56.3626,53.7059,"(960, 1280)",0.0848
14,200068000724_341292.jpg,1500.0,359.0,9.0,57.5877,59.8889,"(1280, 612)",0.0848
15,200068000882_343164.jpg,1500.0,380.0,11.0,58.5711,54.4545,"(612, 1280)",0.0858
16,200068000895_344299.jpg,1500.0,372.0,10.0,57.664,56.1,"(960, 1280)",0.0898
17,200069500033_314993.jpg,1500.0,343.0,8.0,55.2187,54.125,"(960, 1280)",0.0898
18,200069500152_313205.jpg,1500.0,373.0,12.0,59.496,54.9167,"(1280, 612)",0.1047
19,200069600258_313631.jpg,1500.0,326.0,9.0,55.6319,51.2222,"(960, 1280)",0.1417
20,200069800084_316693.jpg,1500.0,374.0,9.0,57.8476,59.4444,"(1280, 960)",0.1356
21,200069800465_315981.jpg,1500.0,347.0,11.0,56.6427,48.0,"(612, 1280)",0.0848
22,200069800848_315525.jpg,1500.0,347.0,9.0,55.4179,60.8889,"(960, 1280)",0.0848
23,200069800882_313056.jpg,1500.0,331.0,10.0,57.5952,54.1,"(960, 1280)",0.0848
24,200069900091_315056.jpg,1500.0,82.0,7.0,62.122,55.4286,"(960, 1280)",0.0549
25,200070000695_314021.jpg,1500.0,379.0,9.0,65.7916,60.1111,"(612, 1280)",0.0858
26,200070200575_314521.jpg,1500.0,317.0,8.0,54.9274,55.875,"(960, 1280)",0.0848
27,200070300472_315567.jpg,1500.0,340.0,10.0,59.8853,56.2,"(960, 1280)",0.0848
28,200070400690_315250.jpg,1500.0,239.0,8.0,61.7448,52.625,"(960, 1280)",0.0658
29,200070500169_314136.jpg,1500.0,364.0,10.0,62.5247,58.8,"(1280, 960)",0.0858
30,200070500471_316287.jpg,1500.0,368.0,10.0,56.6739,56.8,"(960, 1280)",0.0868
31,200070500701_315338.jpg,1500.0,2.0,0.0,60.0,,"(960, 1280)",0.001
32,200070500944_314422.jpg,1500.0,341.0,8.0,56.5308,55.5,"(960, 1280)",0.0848
33,200089200060_168720.jpg,1500.0,327.0,9.0,58.2936,54.1111,"(1280, 1280)",0.0917
34,200089300138_168204.jpg,1500.0,378.0,11.0,58.328,58.6364,"(612, 1280)",0.0848
35,200089300245_168978.jpg,1500.0,313.0,9.0,56.3834,55.6667,"(960, 1280)",0.0848
36,200089300314_169487.jpg,1500.0,289.0,7.0,61.9273,70.1429,"(960, 1280)",0.0708
37,200089400172_169448.jpg,1500.0,12.0,6.0,64.75,64.1667,"(960, 1280)",0.003
38,200089400602_169273.jpg,1500.0,371.0,13.0,60.7709,60.6923,"(612, 1280)",0.0878
39,200089500266_169892.jpg,1500.0,358.0,10.0,58.1927,62.7,"(1280, 1280)",0.0858
40,200089600324_170362.jpg,1500.0,353.0,11.0,58.0085,56.2727,"(960, 1280)",0.0848
41,200089700748_168723.jpg,1500.0,340.0,10.0,60.4735,55.4,"(960, 1280)",0.0838
42,200089800626_169275.jpg,1500.0,385.0,9.0,64.6779,62.8889,"(1280, 960)",0.0858
43,200089900131_168631.jpg,1500.0,329.0,11.0,57.8967,62.0,"(960, 1280)",0.0848
44,200089900711_168583.jpg,,,,,,,
45,200090000526_170543.jpg,,,,,,,
46,200090000627_170684.jpg,1500.0,330.0,8.0,57.1576,54.75,"(960, 1280)",0.0848
47,200090000725_168295.jpg,1500.0,201.0,8.0,57.1741,55.25,"(960, 1280)",0.0768
48,200090000907_169046.jpg,1500.0,398.0,63.0,54.7161,43.5397,"(1280, 960)",0.0858
49,200090100346_168699.jpg,1500.0,4.0,4.0,71.0,71.0,"(960, 1280)",0.001
50,200090100733_169647.jpg,1500.0,323.0,10.0,53.9226,49.9,"(960, 1280)",0.0848
51,200092000278_140348.jpg,,,,,,,
52,200092200616_140066.jpg,1500.0,350.0,8.0,56.7457,51.875,"(960, 1280)",0.0848
53,200092200910_140443.jpg,1500.0,374.0,11.0,57.3449,51.7273,"(1280, 612)",0.0888
54,200095400180_141423.jpg,1500.0,233.0,7.0,61.3476,55.4286,"(960, 1280)",0.0639
55,200095500432_141051.jpg,1500.0,282.0,10.0,57.0177,55.4,"(960, 1280)",0.0828
56,200095500904_139728.jpg,1500.0,411.0,9.0,59.3674,61.2222,"(960, 1280)",0.0868
57,200095600834_140473.jpg,1500.0,400.0,27.0,57.685,51.5926,"(1280, 1280)",0.0868
58,200095700226_141477.jpg,1500.0,396.0,37.0,56.2146,48.7838,"(960, 1280)",0.0858
59,200095700459_141134.jpg,1500.0,342.0,19.0,54.6053,40.2632,"(1280, 612)",0.0848
60,200095700681_140662.jpg,1500.0,344.0,9.0,58.6076,59.3333,"(960, 1280)",0.0838
61,200095700907_140243.jpg,1500.0,386.0,12.0,60.4093,50.0,"(960, 1280)",0.0858
62,200095800132_141644.jpg,1500.0,331.0,8.0,57.0937,56.375,"(1280, 1280)",0.1326
63,200095800768_140553.jpg,1500.0,359.0,9.0,56.3844,56.3333,"(960, 1280)",0.0848
64,200095900009_140411.jpg,1500.0,310.0,8.0,57.9968,62.625,"(960, 1280)",0.0848
65,200095900646_140631.jpg,1500.0,375.0,9.0,56.4533,66.6667,"(960, 1280)",0.0848
66,200095900920_140285.jpg,1500.0,178.0,8.0,59.264,56.0,"(960, 1280)",0.0608
67,200099000225_126770.jpg,1500.0,390.0,9.0,58.4974,61.1111,"(960, 1280)",0.0858
68,200099000509_124598.jpg,1500.0,379.0,23.0,59.2797,48.6957,"(960, 1280)",0.0858
69,200099100205_124697.jpg,1500.0,353.0,9.0,60.1445,62.2222,"(612, 1280)",0.0858
70,200099100871_125703.jpg,1500.0,366.0,11.0,58.1311,55.0,"(960, 1280)",0.0848
71,200099200190_124661.jpg,1500.0,340.0,9.0,55.0941,48.6667,"(1280, 1280)",0.0848
72,200099200490_125127.jpg,1500.0,392.0,11.0,58.801,55.7273,"(960, 1280)",0.0848
73,200099200808_126265.jpg,1500.0,364.0,9.0,58.75,53.8889,"(1280, 960)",0.0857
74,200102200043_79609.jpg,1500.0,395.0,8.0,57.6937,59.125,"(960, 1280)",0.0858
75,200102200143_79868.jpg,1500.0,375.0,8.0,58.9947,60.75,"(960, 1280)",0.0848
76,200102200486_79991.jpg,1500.0,411.0,29.0,56.1776,50.931,"(1280, 960)",0.0848
77,200102200651_79425.jpg,1500.0,390.0,9.0,59.7,61.0,"(960, 1280)",0.0858
78,200102200919_80277.jpg,1500.0,361.0,11.0,56.2161,56.7273,"(960, 1280)",0.0858
79,200108700324_87727.jpg,1500.0,2.0,0.0,50.5,,"(612, 1280)",0.001
80,200108700878_88510.jpg,1500.0,405.0,11.0,58.9012,56.8182,"(960, 1280)",0.0848
81,200108800116_87711.jpg,1500.0,380.0,21.0,57.3632,48.5714,"(960, 1280)",0.0858
82,200108800178_87491.jpg,1500.0,322.0,9.0,56.2547,62.3333,"(1280, 1280)",0.0848
83,200108800307_88020.jpg,,,,,,,
84,200109100872_87205.jpg,1500.0,338.0,8.0,62.4852,56.375,"(612, 1280)",0.0758
85,200109100997_87305.jpg,1500.0,15.0,5.0,65.6,63.6,"(612, 1280)",0.012
86,200109200690_87694.jpg,1500.0,14.0,7.0,59.6429,63.2857,"(960, 1280)",0.004
87,200109200691_87671.jpg,1500.0,366.0,11.0,59.1175,49.9091,"(960, 1280)",0.0878
88,200109300169_88232.jpg,1500.0,386.0,11.0,58.7228,58.6364,"(612, 1280)",0.0858
89,200109300694_87656.jpg,1500.0,372.0,10.0,59.121,64.8,"(960, 1280)",0.0858
90,200109300812_87913.jpg,1500.0,317.0,11.0,55.1798,47.3636,"(960, 1280)",0.0848
91,200109500219_87421.jpg,1500.0,345.0,9.0,56.9739,54.3333,"(960, 1280)",0.0848
92,200109500877_86231.jpg,1500.0,405.0,9.0,62.7235,65.8889,"(960, 1280)",0.0888
93,200114500302_72612.jpg,1500.0,384.0,13.0,55.9323,51.0769,"(1280, 960)",0.0868
94,200114900187_72428.jpg,1500.0,362.0,9.0,57.5083,55.6667,"(960, 1280)",0.0878
95,200115100474_72854.jpg,1500.0,191.0,9.0,56.2932,46.4444,"(960, 1280)",0.0708
96,200115100733_72520.jpg,1500.0,371.0,19.0,61.5121,39.5789,"(612, 1280)",0.0858
97,200115300109_72745.jpg,1500.0,374.0,9.0,60.1203,48.7778,"(1280, 612)",0.0858
98,200115600309_73183.jpg,1500.0,345.0,9.0,56.3739,52.1111,"(960, 1280)",0.0848
99,200115600710_72299.jpg,1500.0,150.0,9.0,62.3,66.0,"(612, 1280)",0.0638
100,200115800121_72233.jpg,1500.0,366.0,11.0,61.9727,50.5455,"(612, 1280)",0.0858
101,200115800136_72139.jpg,1500.0,355.0,10.0,58.9155,57.0,"(960, 1280)",0.0848
102,200116000389_72501.jpg,1500.0,373.0,11.0,59.7346,62.0909,"(612, 1280)",0.0918
103,200116000611_73309.jpg,1500.0,363.0,10.0,59.3691,64.6,"(960, 1280)",0.1316
104,200116000891_73537.jpg,1500.0,396.0,27.0,57.9823,48.6296,"(1280, 1280)",0.0878
105,200116200104_72174.jpg,1500.0,375.0,9.0,64.6053,59.7778,"(612, 1280)",0.0848
