,name,features,all_matches,true_matches,error_all_matches,error_true_matches,size,time
0,1.jpg,1500.0,357.0,59.0,42.0868,32.1695,"(1276, 1276)",0.0848
1,2.jpg,1500.0,276.0,15.0,49.5109,35.2667,"(1276, 1276)",0.1166
2,3.jpg,1500.0,301.0,10.0,53.9369,47.2,"(1276, 956)",0.1307
3,4.jpg,1500.0,415.0,80.0,42.8627,35.1375,"(1276, 1276)",0.0878
4,5.jpg,1500.0,290.0,8.0,61.6483,54.375,"(1276, 1276)",0.0778
5,IMG_6806.JPG,1500.0,342.0,13.0,47.0351,35.3077,"(4032, 3024)",0.0987
6,IMG_6807.JPG,1500.0,337.0,21.0,44.1929,32.619,"(4032, 3024)",0.1007
7,IMG_6808.JPG,1500.0,352.0,19.0,47.1932,38.7895,"(4032, 3024)",0.0858
8,IMG_6809.JPG,1500.0,336.0,12.0,52.7143,49.0,"(4032, 3024)",0.0938
9,IMG_6810.JPG,1500.0,287.0,9.0,50.0732,53.1111,"(4032, 3024)",0.0878
10,IMG_6811.JPG,1500.0,290.0,9.0,50.0655,44.5556,"(4032, 3024)",0.0838
11,photo_2020-10-03_16-53-13.jpg,1500.0,325.0,11.0,50.0031,39.3636,"(1276, 956)",0.0848
12,photo_2020-10-03_16-53-14.jpg,1500.0,314.0,17.0,49.3376,35.3529,"(1276, 956)",0.0858
13,photo_2020-10-03_16-53-15 (2).jpg,1500.0,320.0,26.0,49.1656,48.0769,"(1276, 956)",0.0848
14,photo_2020-10-03_16-53-15.jpg,1500.0,305.0,11.0,49.318,48.5455,"(1276, 956)",0.0818
15,photo_2020-10-03_16-53-16.jpg,1500.0,278.0,16.0,48.3957,43.0625,"(1276, 956)",0.0778
16,photo_2020-10-03_16-53-17.jpg,1500.0,252.0,12.0,46.3373,49.5833,"(1276, 956)",0.0828
17,photo_2020-10-03_16-53-18.jpg,1500.0,314.0,20.0,46.9427,44.5,"(1276, 956)",0.0818
18,photo_2020-10-03_16-53-19.jpg,1500.0,255.0,12.0,48.8588,38.75,"(1276, 956)",0.0768
19,photo_2020-10-03_16-53-20.jpg,1500.0,290.0,10.0,48.2414,48.8,"(1276, 956)",0.0838
20,photo_2020-10-03_16-53-21.jpg,1500.0,270.0,12.0,50.1444,35.1667,"(1276, 956)",0.0818
21,photo_2020-10-03_16-53-23.jpg,1500.0,305.0,9.0,50.5475,49.7778,"(1276, 956)",0.0848
22,photo_2020-10-03_16-53-24.jpg,1500.0,310.0,11.0,46.2194,38.2727,"(1276, 956)",0.0838
23,photo_2020-10-03_16-53-25.jpg,1500.0,297.0,15.0,47.5354,32.6,"(1276, 956)",0.0838
24,photo_2020-10-03_16-53-27.jpg,1500.0,298.0,12.0,48.3658,39.5,"(1276, 1276)",0.1117
25,photo_2020-10-03_16-53-28.jpg,1500.0,319.0,18.0,47.2257,52.0556,"(1276, 1276)",0.1436
26,photo_2020-10-03_17-08-56.jpg,1500.0,421.0,120.0,38.2993,35.975,"(1276, 956)",0.0469
27,photo_2020-10-03_17-08-57.jpg,1500.0,267.0,28.0,44.221,39.0,"(1276, 956)",0.0758
28,photo_2020-10-03_17-08-58.jpg,1500.0,278.0,44.0,49.4748,41.5227,"(1276, 956)",0.0778
29,photo_2020-10-03_17-08-59.jpg,1500.0,367.0,68.0,41.9619,33.1618,"(1276, 956)",0.0848
30,photo_2020-10-03_17-09-00.jpg,1500.0,356.0,31.0,45.6938,37.2903,"(1276, 956)",0.0838
31,photo_2020-10-03_17-09-01.jpg,1500.0,349.0,39.0,46.5616,41.1795,"(1276, 956)",0.0848
32,photo_2020-10-03_17-09-02.jpg,1500.0,350.0,14.0,49.4286,50.7857,"(956, 1276)",0.0848
33,photo_2020-10-03_17-09-03.jpg,1500.0,311.0,32.0,47.91,39.8125,"(1276, 956)",0.0828
34,photo_2020-10-03_17-09-04 (2).jpg,1500.0,189.0,11.0,52.5397,59.0,"(1276, 956)",0.0668
35,photo_2020-10-03_17-09-04.jpg,1500.0,345.0,13.0,49.5362,40.3846,"(1276, 956)",0.0838
36,photo_2020-10-03_17-09-05.jpg,1500.0,292.0,17.0,47.6027,40.5294,"(1276, 956)",0.0798
37,photo_2020-10-03_17-09-06.jpg,1500.0,324.0,12.0,49.0741,38.4167,"(1276, 956)",0.0848
38,photo_2020-10-03_17-09-07.jpg,1500.0,324.0,12.0,49.0741,38.4167,"(1276, 956)",0.0848
39,photo_2020-10-03_17-09-08.jpg,1500.0,286.0,13.0,49.6154,42.0769,"(1276, 956)",0.0828
40,photo_2020-10-03_17-09-09.jpg,1500.0,287.0,10.0,50.3693,45.0,"(1276, 956)",0.0778
41,photo_2020-10-03_17-09-10.jpg,1500.0,333.0,11.0,49.3604,41.7273,"(1276, 956)",0.0838
42,photo_2020-10-03_17-09-11 (2).jpg,1500.0,334.0,117.0,42.9371,29.5812,"(1276, 956)",0.0469
43,photo_2020-10-03_17-09-11.jpg,1500.0,333.0,11.0,49.3604,41.7273,"(1276, 956)",0.0908
44,photo_2020-10-03_17-09-12.jpg,1500.0,334.0,117.0,42.9371,29.5812,"(1276, 956)",0.0449
45,photo_2020-10-03_17-09-13 (2).jpg,1500.0,414.0,151.0,41.186,34.8411,"(1276, 956)",0.0409
46,photo_2020-10-03_17-09-13.jpg,1500.0,340.0,33.0,49.5706,41.2727,"(1276, 956)",0.0848
47,photo_2020-10-03_17-09-14.jpg,1500.0,355.0,53.0,44.8085,41.0566,"(1276, 956)",0.0848
48,photo_2020-10-03_17-09-15.jpg,1500.0,287.0,13.0,50.2613,42.6154,"(1276, 956)",0.0828
49,photo_2020-10-03_17-09-16.jpg,1500.0,347.0,63.0,44.6916,33.9841,"(1276, 956)",0.0848
50,photo_2020-10-03_17-09-17.jpg,1500.0,312.0,26.0,47.6314,38.4231,"(1276, 956)",0.0848
51,photo_2020-10-03_17-09-18 (2).jpg,1500.0,346.0,31.0,49.9191,37.5806,"(1276, 956)",0.0868
52,photo_2020-10-03_17-09-18.jpg,1500.0,325.0,52.0,46.9231,32.3846,"(1276, 956)",0.0808
53,photo_2020-10-03_17-09-19.jpg,1500.0,317.0,11.0,55.6909,54.5455,"(956, 1276)",0.0858
54,photo_2020-10-03_17-09-21.jpg,1500.0,330.0,12.0,59.5152,57.4167,"(1276, 956)",0.0858
55,photo_2020-10-03_17-09-23.jpg,1500.0,332.0,10.0,55.3765,52.3,"(1276, 956)",0.0868
56,photo_2020-10-03_17-09-24.jpg,1500.0,26.0,7.0,51.3462,53.0,"(1276, 956)",0.0269
57,photo_2020-10-03_17-09-26.jpg,1500.0,63.0,9.0,48.6825,40.2222,"(1276, 956)",0.0539
58,photo_2020-10-03_17-09-27 (2).jpg,1500.0,13.0,6.0,46.2308,55.1667,"(1276, 956)",0.004
59,photo_2020-10-03_17-09-27.jpg,1500.0,46.0,9.0,47.0652,44.8889,"(1276, 956)",0.0529
60,photo_2020-10-03_17-09-29.jpg,1500.0,459.0,183.0,37.5229,32.5683,"(1276, 956)",0.0459
61,photo_2020-10-03_17-09-30.jpg,1500.0,187.0,49.0,44.9091,39.2449,"(1276, 956)",0.0459
62,photo_2020-10-03_17-09-31 (2).jpg,1500.0,33.0,7.0,41.7576,34.7143,"(1276, 956)",0.0529
63,photo_2020-10-03_17-09-31.jpg,1500.0,251.0,72.0,41.7331,31.0417,"(1276, 956)",0.0359
64,photo_2020-10-03_17-09-32.jpg,1500.0,298.0,9.0,56.4698,55.2222,"(1276, 956)",0.0838
65,photo_2020-10-03_17-09-33.jpg,1500.0,50.0,11.0,52.66,51.0,"(1276, 956)",0.0539
66,photo_2020-10-03_17-09-34.jpg,1500.0,340.0,41.0,48.3794,38.7805,"(1276, 956)",0.0848
67,photo_2020-10-03_17-23-29.jpg,1500.0,342.0,11.0,54.0088,54.4545,"(1276, 956)",0.0858
68,photo_2020-10-03_17-23-30.jpg,1500.0,344.0,40.0,45.5174,36.75,"(956, 1276)",0.0838
69,photo_2020-10-03_17-23-33.jpg,1500.0,331.0,18.0,48.1541,54.4444,"(956, 1276)",0.0838
70,photo_2020-10-03_17-23-35.jpg,1500.0,328.0,11.0,55.9695,48.9091,"(1276, 956)",0.1287
71,photo_2020-10-03_17-23-36.jpg,1500.0,319.0,79.0,46.9498,35.4684,"(1276, 956)",0.0997
72,photo_2020-10-03_17-23-38.jpg,1500.0,327.0,19.0,49.7064,46.5789,"(1276, 956)",0.0838
73,photo_2020-10-03_17-23-39.jpg,1500.0,300.0,9.0,57.6833,58.7778,"(1276, 1276)",0.0838
74,photo_2020-10-03_17-23-41.jpg,1500.0,306.0,26.0,51.0915,38.0,"(1276, 1276)",0.0868
75,photo_2020-10-03_17-23-42.jpg,1500.0,311.0,13.0,51.6977,48.3846,"(1276, 1276)",0.0858
76,photo_2020-10-03_17-23-43.jpg,1500.0,300.0,11.0,51.5133,37.4545,"(1276, 1276)",0.0838
77,photo_2020-10-03_17-23-45.jpg,1500.0,318.0,16.0,52.0786,39.125,"(1276, 1276)",0.0868
78,photo_2020-10-03_17-23-47.jpg,1500.0,312.0,16.0,54.7692,38.5,"(1276, 1276)",0.0848
79,photo_2020-10-03_17-23-48.jpg,1500.0,343.0,39.0,45.8309,34.4872,"(1276, 1276)",0.0828
80,photo_2020-10-03_17-23-50.jpg,1500.0,306.0,20.0,51.4902,41.25,"(1276, 1276)",0.0808
